,LABEL,TXT
1704,input ,
1705,input ,
1706,input ,
1707,input ,
1708,span ,
1709,span ,
1710,span ,
1711,span ,
1712,span ,
1713,span ,
1714,div ,
1715,span ,
1716,div ,
1717,div ,
1718,span ,
1719,i ,
1730,input ,
1731,div ,
1732,span ,
1734,div ,
1735,div ,
1736, ,There was a problem completing your request. Please try your search again later.
1738,div ,
1739,span ,
1740,span ,
1741,span ,
1742, ,All
1746,span ,
1747,span ,
1748,span ,
1749, ,Product Information
1753,span ,
1754,span ,
1755,span ,
1756, ,Customer Q&A's
1760,span ,
1761,span ,
1762,span ,
1763, ,Customer Reviews
1767,hr ,
1769,div ,
1772,div a popover ask dpsearch post question modal,
1773,form ,
1774,input ,
1775,input ,
1776,input ,
1777,input ,
1778,input ,
1779,input ,
1780,input ,
1781,input ,
1782,input ,
1783,input ,
1784,input ,
1785,input ,
1786,div ,
1788,p ,
1789, ,"Your question may be answered by sellers, manufacturers, or customers who purchased this item, who are all part of the Amazon community."
1791,div ,
1792,p ,
1793, ,Please make sure that you've entered a valid question.  You can edit your question or post anyway.
1795,p ,
1796, ,Please enter a question.
1805,div dpx product description feature div,
1806,div biss product description and details,
1807,div descriptionAndDetails,
1808,div productDescription feature div,
1809,div productDescription feature div,
1810,div ,
1811,h2 ,
1812, ,Product description
1815,div productDescription,
1816,div ,
1821,strong ,"Style Name:IPS, USB 3.0 & Type-C"
1827, ,|
1829,strong ,Size Name:15.6 Inch
1832,p ,"The ideal travel companion for laptops, the 15.6"" Full HD IPS Zen Screen MB16AC USB Type-C portable monitor features the world's first hybrid signal solution.Display Surface - Glare"
1844,div dpx btf renewed program description feature div,
1845,div renewedProgramDescriptionBtf feature div,
1847,div dpx aplus brand story feature div,
1848,div aplusBrandStory feature div,
1851,div dpx aplus product description feature div,
1853,div dpx aplus 3p product description feature div,
1855,div dpx default important information feature div,
1856,div importantInformation feature div,
1859,div sims consolidated 3 feature div,
1860,div ,
1861,div p13n m desktop dp sims vtp 60 sims feature 3,
1862,div ,
1863,hr ,
1864,div desktop dp sims vtp 60 sims feature,
1865,div ,
1866,div ,What other items do customers buy after viewing this item?Page 1 of 1 Start overPage 1 of 1
1867,span ,This shopping feature will continue to load items when the Enter key is pressed. In order to navigate out of this carousel please use your heading shortcut key to navigate to the next or previous heading.
1868,div ,Back
1869,li ,
1870,div ,
1871,a ,
1872,div ,
1873, ,"ASUS ZenScreen GO MB16AP 15.6-inch Full HD Portable USB Monitor, Built-in Battery, Hybrid Signal Solution, USB Type-C, Flicker Free, Blue Light Filter"
1876,div ,
1877,a ,
1878,i ,3.6 out of 5 stars
1880,a ,11
1882,div ,$521.36 Only 1 left in stock (more on the way).
1884,li ,
1885,div ,
1886,a ,
1887,div ,
1888, ,AOC e1659Fwu 16-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/Case
1891,div ,
1892,a ,
1893,i ,4.0 out of 5 stars
1895,a ,"4,268"
1897,a ,10 offers from $167.95
1899,li ,
1900,div ,
1901,a ,
1902,div ,
1903, ,"TEKXDD Portable Monitor -15.6 Inch Metal Frame Ultra-Thin Full HD 1080 IPS Screen Gaming Monitor with HDMI Type-C USB-C, Built-in Dual Speakers / Smart Case Travel Monitor for Laptop, PS4, Xbox, Switch, Phone (Black)"
1906,div ,
1907,a ,
1908,i ,4.0 out of 5 stars
1910,a ,36
1912,div ,$289.99 Only 1 left in stock.
1914,li ,
1915,div ,
1916,a ,
1917,div ,
1918, ,"ASUS ZenScreen MB16AC 15.6 inch Full HD Portable USB Monitor, Hybrid Signal Solution, USB Type-C, Flicker Free, Blue Light Filter"
1921,div ,
1922,a ,
1923,i ,4.1 out of 5 stars
1925,a ,60
1927,div ,$449.00 Only 3 left in stock (more on the way).
1929,li ,
1930,div ,
1931,a ,
1932,div ,
1933, ,"ASUS ZenScreen GO MB16AHP 15.6-inch Full HD Portable USB Type-C Monitor, Built-in Battery, USB Type-C, Micro-HDMI, Flicker Free, Blue Light Filter"
1936,div ,
1937,a ,
1938,i ,3.0 out of 5 stars
1940,a ,8
1942,div ,$577.98 Only 5 left in stock (more on the way).
1944,li ,
1945,div ,
1946,a ,
1947,div ,
1948, ,"15.6 inch Portable Monitor HDMI 1920 x 1080 LCD IPS Screen with Leather Case, (Double Mini HDMI, USB Powered), for PC PS3 PS4 Xbox Raspberry Pi Mac Laptop Windows 7 8 10 iOS Nintendo, Kenowa"
1951,div ,
1952,a ,
1953,i ,3.5 out of 5 stars
1955,a ,29
1957,div ,$258.99 Only 2 left in stock.
1960,div ,Next
1961,span ,
1967,div sims consolidated 4 feature div,
1968,div ,
1969,div p13n m desktop dp sims purchase similarities sims feature 4,
1970,div ,
1971,hr ,
1972,div desktop dp sims purchase similarities sims feature,
1973,div ,
1974,div ,Customers who bought this item also boughtPage 1 of 1 Start overPage 1 of 1
1975,span ,This shopping feature will continue to load items when the Enter key is pressed. In order to navigate out of this carousel please use your heading shortcut key to navigate to the next or previous heading.
1976,div ,Back
1977,li ,
1978,div ,
1979,a ,
1980,div ,
1981, ,"USB-IF Certified Cable Matters 10 Gbps Gen 2 USB C to USB C Cable with 8K Video and 100W Power Delivery in Black 3.3 Feet, 1m"
1984,div ,
1985,a ,
1986,i ,4.6 out of 5 stars
1988,a ,398
1990,a ,1 offer from $78.36
1992,li ,
1993,div ,
1994,a ,
1995,div ,
1996, ,"iPad Stand TechMatte Multi-Angle Aluminum Holder for Tablets, E-Readers and Smartphones - Mini Stand"
1999,div ,
2000,a ,
2001,i ,4.7 out of 5 stars
2003,a ,"1,266"
2005,div ,$53.27 Usually dispatched within 6 to 10 days.
2007,li ,
2008,div ,
2009,a ,
2010,div ,
2011, ,"Exuun (2-Pack) 90 Degree USB C Type C Male to Female Adapter, Right & Left Angled 90 Degree USB-C USB 3.1 Type-C Male to Female Extension Adapter for Laptop & Tablet & Mobile Phone"
2014,div ,
2015,a ,
2016,i ,4.4 out of 5 stars
2018,a ,684
2020,a ,1 offer from $83.18
2022,li ,
2023,div ,
2024,a ,
2025,div ,
2026, ,NETGEAR WAC104 SOHO Standalone AC1200 Dual Band 802.11ac Access Point
2029,div ,
2030,a ,
2031,i ,4.2 out of 5 stars
2033,a ,"1,125"
2035,a ,1 offer from $253.78
2037,li ,
2038,div ,
2039,a ,
2040,div ,
2041, ,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM
2044,div ,
2045,a ,
2046,i ,4.5 out of 5 stars
2048,a ,15
2050,div ,$155.66
2052,li ,
2053,div ,
2054,a ,
2055,div ,
2056, ,"ASUS PCE-AC56, 802.11ac Dual-band Wireless-AC1300 PCI-E Adapter"
2059,div ,
2060,a ,
2061,i ,4.4 out of 5 stars
2063,a ,"11,086"
2065,div ,$94.48
2068,div ,Next
2069,span ,
2075,div sponsoredProducts2 feature div,
2077,div dp ads middle feature div,
2079,div services widget feature div,
2081,div center 28 feature div,
2083,div dp ads center promo feature div,
2085,div ask btf feature div,
2086,link ,
2087,link ,
2090,div cf ask cel,
2091,div Ask,
2092,div ask lazy load div,
2093,hr ,
2094,div ,
2095,div ,
2096, ,Customer Questions & Answers
2098,div ,
2099,a ,See questions and answers
2101,div ,
2102,img ,
2111,a ,
2112,span cr state object,
2114,input ,
2116,div ,Customer reviews4.1 out of 5 stars4.1 out of 5
2117,span ,"5,222 global ratings"
2118,div histogramTable,
2119,table histogramTable,
2120,tr ,
2121,td ,
2122,span ,
2123,a ,
2124, ,5 star
2127,span ,
2129,td ,
2130,a ,
2131,div ,
2134,td ,
2135,span ,
2136,span ,
2137,a ,
2139, ,61%
2145,tr ,
2146,td ,
2147,span ,
2148,a ,
2149, ,4 star
2152,span ,
2154,td ,
2155,a ,
2156,div ,
2159,td ,
2160,span ,
2161,span ,
2162,a ,
2164, ,16%
2170,tr ,
2171,td ,
2172,span ,
2173,a ,
2174, ,3 star
2177,span ,
2179,td ,
2180,a ,
2181,div ,
2184,td ,
2185,span ,
2186,span ,
2187,a ,
2189, ,7%
2195,tr ,
2196,td ,
2197,span ,
2198,a ,
2199, ,2 star
2202,span ,
2204,td ,
2205,a ,
2206,div ,
2209,td ,
2210,span ,
2211,span ,
2212,a ,
2214, ,5%
2220,tr ,
2221,td ,
2222,span ,
2223,a ,
2224, ,1 star
2227,span ,
2229,td ,
2230,a ,
2231,div ,
2234,td ,
2235,span ,
2236,span ,
2237,a ,
2239, ,10%
2246,div ,"How are ratings calculated?To calculate the overall star rating and percentage breakdown by star, we don’t use a simple average. Instead, our system considers things like how recent a review is and if the reviewer bought the item on Amazon. It also analyses reviews to verify trustworthiness."
2247,hr ,
2248,div ,Review this productShare your thoughts with other customersWrite a customer review
2249,div ,
2250,div reviews image gallery,
2252,div ,Customer images
2253,img ,
2254,div ,See all customer images
2255,span ,
2257,span ,
2258,span ,
2259,div ,
2260,a customer reviews content,
2261,div cm cr dp review sort type,
2262,span ,
2263,span cm cr sort dropdown,
2264,option ,
2265, ,Top reviews
2267,option ,
2268, ,Most recent
2270,span ,Top reviews
2272,div ,
2283, ,Top reviews from Australia
2284,div ,
2286,div ,There was a problem filtering reviews right now. Please try again later.Harri Vicknarajah5.0 out of 5 stars
2287,span ,"Quality, compatibility, portability and affordability!!"
2288,span ,"Reviewed in Australia on 28 September 2020Style Name: IPS, USB 3.0 & Type-CSize Name: 15.6 InchVerified Purchase"
2289,span ,
2290,br ,Absolutely fantastic product...Exceptional picture quality; its noticeably better by orders of magnitude than the built in screen if the latest HP elite book (2019-20 model)Most valuable aspect is the portability and compatibility... No other set-up required than plug into USB port and start your PC or laptop
2292,div ,Read more
2293,div ,
2294,span ,
2295, ,Helpful
2298,i ,Comment
2299,span ,Report abuse
2300,div ,Jason Nott4.0 out of 5 stars
2301,span ,Does what it says
2302,span ,"Reviewed in Australia on 21 September 2019Style Name: WXGA, USB 3.0Size Name: 15.6-InchVerified Purchase"
2303,span ,
2304, ,I found easy to use plug it in and it takes a few minutes first time then pops up (I didn’t have to install anything and have tried on three different devices). after first time takes 10-20 seconds. Very light and portable which is fantastic. I do find the display a little dull but maybe still need to play around with the see tings a bit for that.
2306,div ,Read more
2307,div ,
2308,span ,
2309, ,Helpful
2312,i ,Comment
2313,span ,Report abuse
2314,div ,Bret Thump5.0 out of 5 stars
2315,span ,Fantastic screen
2316,span ,"Reviewed in Australia on 26 June 2020Style Name: Full HD, USB 3.0Size Name: 15.6-InchVerified Purchase"
2317,span ,
2318, ,Great second screen when on the move. Stand is a little fiddly but works OK. You need to download the app to adjust contrast and get auto rotation working but works OK without it if you don't need those options.
2320,div ,Read more
2321,div R395PJEL8HE2IX gallerySection main,
2323,div ,
2324,img ,
2325,div ,
2326,span ,
2328,div ,
2329,div ,
2330,span ,
2331, ,Helpful
2334,i ,Comment
2335,span ,Report abuse
2336,div ,Sean5.0 out of 5 stars
2337,span ,perfect laptop companion
2338,span ,"Reviewed in Australia on 12 July 2020Style Name: Full HD, USB 3.0Size Name: 15.6-InchVerified Purchase"
2339,span ,
2340, ,great size screen and well protected with a case. runs from the laptop power and easily connected.
2342,div ,Read more
2343,div ,
2344,span ,
2345, ,Helpful
2348,i ,Comment
2349,span ,Report abuse
2350,div ,Paul Shane2.0 out of 5 stars
2351,span ,Poor value for money
2352,span ,"Reviewed in Australia on 21 September 2020Style Name: WXGA, USB 3.0Size Name: 15.6-InchVerified Purchase"
2353,span ,
2354, ,Resolution of monitor not sufficient at this price point
2356,div ,Read more
2357,div ,
2358,span ,
2359, ,Helpful
2362,i ,Comment
2363,span ,Report abuse
2364,div ,See all reviews
2366,span ,
2367,div ,
2368,span ,
2369,div reviews medley global expand head,
2370,h3 ,
2373, ,Top reviews from other countries
2379,div ,
2380,div ,
2381,div cm cr global review list,
2382,div ,Amelia G.2.0 out of 5 stars
2383,span ,Disappointed in Asus
2384,span ,"Reviewed in the United Kingdom on 29 December 2017Style Name: WXGA, USB 3.0Size Name: 15.6-InchVerified Purchase"
2385,span ,
2386,br ,"This product is working well enough, but I was surprised to find that there have been no driver updates for using it with Windows 10, which has resulted in greatly diminished user-friendliness and functionality. Asus has given very little assistance in troubleshooting this issue - the official Asus EZ-link program simply does not work, and I had to dig to find out how to get the screen working. I sat for hours on different troubleshooting forums to figure out how to download the needed DisplayLink drivers to get the screen working for me.The trouble now is that neither the screen brightness adjustment buttons, nor the 'tablet mode' auto-rotation feature, work with the drivers as they are on Windows 10. I am frustrated that this product is advertised with these features, when they are not usable on THE major PC operating system, Windows 10 (which has already been out for 2 years!)Installation was a huge hassle and I have to control the screen brightness with 3rd party software to make it view-able. I am quite surprised that the advertising remains as it is, when there is a 2 year history of problems in functionality. Asus has cornered the market, especially in the UK, when it comes to Portable Monitors, but it seems that being the only option has lead to comfort with major pitfalls. I feel that I was overcharged for inferior product. My screen turns on and transmits an image, but I paid for more than that."
2388,div ,Read more
2389,div ,75 people found this helpful
2390,span ,
2391,span ,Report abuse
2392,div ,InTheDark5.0 out of 5 stars
2393,span ,Great lightweight monitor
2394,span ,"Reviewed in the United Kingdom on 3 December 2018Style Name: WXGA, USB 3.0Size Name: 15.6-InchVerified Purchase"
2395,span ,
2396,br ,"As I often work away from home and often on client site, I miss the benefit of working from home where I have three monitor setup.  I therefore decided to buy a lightweight portable monitor that I could carry around between sites quite easily, adding minimum weight to my already packed rucksack.  This monitor was discounted as a warehouse deal and at the price it was ideal. The screen is larger than my laptop’s but the resolution is exactly the same. Although a higher resolution would have been better for my needs I couldn’t face paying 60% more in price.The monitor normally comes with a standard usb male-B cable, driver disc and protective cover. The monitor is actually quite light and weighs in at a feather-like 800g. The screen connects very easily and my Windows laptop detected and loaded the drivers without needing the CD.PROS- lightweight design- no flickering or shadowing- decent resolution- comes with 3year warranty- sturdy case supplied with monitor- great price- easy to connect and extend desktop- large size screenCONS- resolution could have been better- requires USB male-B cable to connect (missing from box)- feels a bit flimsy- can be difficult to get screen into protective caseOverall this portable monitor works brilliantly and being so light is easy to carry around.  Highly recommended.*** Please could you click Yes if my review has helped you in any way ***"
2398,div ,Read more
2399,div ,36 people found this helpful
2400,span ,
2401,span ,Report abuse
2402,div ,Jonathan Ehrlick3.0 out of 5 stars
2403,span ,MAC USERS DON'T BUY!
2404,span ,"Reviewed in Canada on 4 February 2019Style Name: Full HD, USB 3.0Size Name: 15.6-InchVerified Purchase"
2405,span ,
2406,br ,"I read a ton of reviews like the one I'm now writing before buying this thing... I didn't listen to them, but hopefully I can save somebody from wasting their money on this.It may be a decent screen for PC users, however it's useless on a MacBook. The drivers are all messed up. When you do finally get it working (after hours of un-installing and re-installing drivers), it won't function properly as a 2nd screen inside of the ""System preferences"" - ""Displays"" section. Because it uses ""Display Link"" which is VERY limited. Because of this it also loses out on certain functions that iMovie, Abelton, Garageband, etc... have for additional monitors. You only have 3 size options for the 2nd screen as well: Small, Medium (which cuts the sides off) and Large (which looks ridiculous and cuts even more of screen off) (1920 x 1080, 1280 x 1024 & 1024 x 768) .I also read tons of the reviews saying the brightness was an issue (It's not adjustable at all). I disregarded this when I made my purchase, thinking it wouldn't matter to me... it matters, it matters a lot. The writing on the Asus screen is already really small, with the difference in brightness from my Macbook Screen, it makes it unbearable to look at.I had really high hopes for this screen... It was a cool idea, it just failed too hard. I hope I was able to save you some money."
2408,div ,Read more
2409,div ,68 people found this helpful
2410,span ,
2411,span ,Report abuse
2412,div ,Leica1.0 out of 5 stars
2413,span ,I wish I'd chosen a different monitor
2414,span ,"Reviewed in the United Kingdom on 19 February 2019Style Name: USB Type-C and ASize Name: 15.6 Inch IPS, batteryVerified Purchase"
2415,span ,
2416,br ,"***UPDATE***I've had one of the two monitors I bought replaced as it wouldn't turn on. I bought *another* powered USB hub so that I'm running each monitor on a separate USB hub. All was fine for a couple of weeks and now the new monitor, instead of not turning on, won't turn off. I've been searching for a way to reboot the monitor. Since it's got an internal batter, lord knows when the battery will finally drain. Like most things, I expect it to work after going off and on again.  I've been searching for a button combination that will reboot it. Hopefully Asus will have a firmware update that makes it less buggy and also has a reboot / reset button combination.Some of this is my fault; I am new to this whole portable / USB-C monitor thing.I decided to try a mobile monitor because I live in a small flat with very limited desk space and the small form factor was perfect for the desk space I hace.My main disappointments:*It only works with certain types of USB 3.0 which supports alternative mode display port. So it didn't work with my USB 3.0 HP laptop. It's not new but since I've put 32GB ram and a terrabyte SSD and dock, it's a really well specced PC at this point.*So I couldn't use it with my USB port but found that Moshi Cables sell a bi-directional  4k-capable display port - usb-c cable for a mere 50 quid. I have two of these monitors so I bought two of them. But since it can only be powered by the USB port that didn't work.*I decided to use an oldish MS Surface Pro 2. Which worked with 1 monitor but didn't have enough power for both.So I spent another 35 quid on a powered USB-3 hub. Finally I could have two monitors! Happy!*So all is good-ish, but the monitors randomly power down. They are still partially charged, I took them out of eco mode, I disabled screen dimming / screen off in the windows power control panel and still random power downs.I haven't looked around but I'm guessing there are portable monitors that also have external power supply, which would have worked with the Moshi cable, but I it's too much of a faff to pack up everything and get new monitors and swap the PCs out again so I'll live with it I guess.It's really disappointing though; I've always trusted Asus as a brand to make highly-functional products but don't feel this product fits that description."
2418,div ,Read more
2419,div ,21 people found this helpful
2420,span ,
2421,span ,Report abuse
2422,div ,Alf1.0 out of 5 stars
2423,span ,POOR QUALITY STAND MAKES FRAGILE SCREEN VULNERABLE TO ACCIDENTAL DAMAGE
2424,span ,"Reviewed in the United Kingdom on 30 January 2019Style Name: Full HD, USB 3.0Size Name: 15.6-InchVerified Purchase"
2425,span ,
2426, ,"The basis concept of this portable screen is brilliant. With the couple of weeks I was able to use it after purchase, it made remote working much more productive. Unfortunately the screen is now smashed and unusable :-( This was because of an accident on my part, but I think the case that converts into a stand is a weak-point of the product and buyers should beware. The case is essentially only a 'prop' - there is nothing fixed to or retaining the screen. When plugging the screen into my PC I caught the top corner with my cuff and it fell forward easily, pivoting over the tab at the base and continuing to fall forward onto my slim-keyboard. This was enough to smash the screen. DETAILS: The screen is not secured in any fixed way. SEE PICS: Its back edge just leans back, at an angle which is only about 12 degree off vertical, onto the folded case which provides a 45mm high support along the full length of its bottom edge (in total, about 365mm). At the front edge, there is a small retaining tab made of stiff, flip up case material which is located in the middle; it's only about 5mm high and 50mm long only. The combination of 'upright' lean back angle, lack of retainer and pivot point at the front bottom edge made what is likely to be a typical 'accidental contact' quickly turn into disaster. I contacted ASUS support as recommended by Amazon support. I explained exactly what happened, and noted my concerns about the stand and asked if they could offer any form of customer support. ASUS replied “Please note that we do not repair the monitors, the warranty is a replacement warranty only. Asus is the manufacture and cannot be seen as a seller, we do not sell our products directly to customers. I am sorry to let you know that we cannot repair the monitor, and we cannot replace the monitor for another one at a reduced price. Our apologies for the inconveniences caused to you.” So no real help available anywhere. If you do decide to buy this screen I'd think about buying the insurance Amazon offer and I'd caution against using the case as a stand and get something more secure. For the replacement screen I purchased I also bought this Anker Portable Stand, which seems very solid and you could add velcro tape if you want to make it even more secure: https://www.amazon.co.uk/gp/product/B00N2EOK8O/ref=ppx_yo_dt_b_asin_title_o02__o00_s00?ie=UTF8&psc=1  . All in all a bit of disappointing learning curve and expensive experience."
2428,div ,Read more
2429,div RAA4KIDJB7D3H gallerySection main,
2431,div ,
2432,img ,
2433,div ,
2434,div ,16 people found this helpful
2435,span ,
2436,span ,Report abuse
2437,div ,See all reviews
2447,div dpx ajax block components feature div,
2448,div ajaxBlockComponents feature div,
2455,input 1click tsdelta,
2461,div ,
2462,div nav prime tooltip,
2463,div ,Get FREE delivery with Amazon Prime
2464,div ,"Prime members enjoy FREE Delivery and exclusive access to movies, TV shows, music, Kindle e-books, Twitch Prime, and more."
2465,div ,
2466, ,>
2467,a ,Get Started
